Kundenname,Alter,Zahlungsmethode,ø Preis,Menge,Datum,Uhrzeit
Emilia Hölzenbecher MBA.,51,EC-Karte,46.99,3,13.01.2022,16:47:03
Irena Austermühle,49,Bar,38.99,1,13.01.2022,17:21:54
Hans-Martin Hering B.Sc.,54,Bar,38.99,5,13.01.2022,17:29:48
Isidor Trubin,31,EC-Karte,22.99,2,13.01.2022,17:33:06
Jacob Rogge-Scholz,59,EC-Karte,47.99,6,13.01.2022,17:40:32
Aline Pohl,40,EC-Karte,43.99,3,13.01.2022,17:44:22
Dr. Gunter Gotthard,64,Bar,35.99,7,13.01.2022,18:03:00
Marika Jäntsch-Jungfer,31,EC-Karte,20.99,1,13.01.2022,18:21:16
Magrit Dörschner-Heser,25,Kreditkarte,23.99,6,13.01.2022,18:48:10
Ingeborg Scholl B.Eng.,31,Bar,24.99,3,13.01.2022,19:45:41
Vincenzo Fischer,63,Kreditkarte,35.99,6,13.01.2022,19:53:07
Prof. Hildegart Radisch,31,Kreditkarte,17.99,4,14.01.2022,10:30:57
Theodor Jähn,46,EC-Karte,37.99,5,14.01.2022,10:38:26
Sandro Thanel B.A.,54,EC-Karte,47.99,2,14.01.2022,10:39:38
Caroline Mälzer,56,Bar,32.99,7,14.01.2022,10:42:51
Gilbert Ernst,51,EC-Karte,42.99,1,14.01.2022,10:57:45
Lisbeth Zimmer,62,Kreditkarte,36.99,6,14.01.2022,11:28:10
Univ.Prof. Stefano Salz B.Eng.,45,Bar,42.99,5,14.01.2022,11:39:19
Ilhan Fröhlich,29,Bar,13.99,3,14.01.2022,12:30:32
Jovan Geißler,34,Kreditkarte,12.99,3,14.01.2022,12:43:45
Fridolin Döring,56,Bar,44.99,6,14.01.2022,13:31:04
Dr. Hardy Bärer,46,Kreditkarte,46.99,4,14.01.2022,13:31:54
Univ.Prof. Aleksej Stumpf B.Sc.,51,Bar,32.99,5,14.01.2022,14:15:48
Ing. Harold Stey B.A.,27,EC-Karte,24.99,1,14.01.2022,14:29:13
Songül Langern,25,EC-Karte,16.99,1,14.01.2022,15:37:13
Friedericke Tröst-Gutknecht,51,Bar,38.99,8,14.01.2022,15:38:29
Prof. Sigmund Kallert,50,Bar,41.99,1,14.01.2022,15:40:48
Bernward Graf B.Eng.,54,Bar,45.99,2,14.01.2022,16:00:20
Dipl.-Ing. Leni Segebahn,31,Kreditkarte,20.99,1,14.01.2022,16:04:23
Susann Hertrampf-Wohlgemut,55,Kreditkarte,24.99,5,14.01.2022,17:06:07
Annelene Rust,57,EC-Karte,44.99,4,14.01.2022,17:08:04
Korbinian Rust,47,Kreditkarte,42.99,4,14.01.2022,17:34:16
Magarete Weiß,63,EC-Karte,37.99,7,14.01.2022,18:33:39
Marvin Wirth,31,EC-Karte,25.99,3,14.01.2022,19:17:29
Ann-Kathrin Eberth,34,Bar,16.99,3,14.01.2022,19:31:01
Jana Thanel,54,EC-Karte,26.99,6,14.01.2022,19:37:54
Marita Barth-Meyer,57,Bar,47.99,6,14.01.2022,19:50:35
Ralf Lindau B.A.,46,EC-Karte,34.99,12,14.01.2022,19:54:42
Hansjürgen Schäfer,51,Bar,45.99,4,15.01.2022,10:18:10
Dr. Katharina Wieloch,55,EC-Karte,33.99,7,15.01.2022,10:21:07
Sandra auch Schlauchin,58,Bar,43.99,5,15.01.2022,10:24:17
Herma Meyer,56,Bar,47.99,3,15.01.2022,10:40:51
Oswald Möchlichen,60,EC-Karte,41.99,4,15.01.2022,11:36:10
Elvira Karz,34,Bar,26.99,3,15.01.2022,12:12:01
Marie-Therese Heidrich,56,Kreditkarte,51.99,5,15.01.2022,12:47:42
Sergei Kühnert,29,Kreditkarte,19.99,3,15.01.2022,12:52:52
Mirella Meyer B.A.,52,EC-Karte,46.99,2,15.01.2022,13:01:04
Jost Eberth,63,Bar,32.99,5,15.01.2022,13:04:32
Cathrin Röhrdanz,50,EC-Karte,40.99,8,15.01.2022,14:28:33
Alfons Drewes,48,EC-Karte,41.99,6,15.01.2022,15:16:39
Prof. Josefa Kranz,28,Kreditkarte,23.99,2,15.01.2022,15:50:42
Tina Rudolph,54,Bar,38.99,5,15.01.2022,16:01:58
Carla Gröttner,69,Kreditkarte,34.99,4,15.01.2022,16:21:17
Lisette Schüler,61,Kreditkarte,31.99,7,15.01.2022,16:32:48
Ingeborg Pölitz B.Sc.,28,EC-Karte,21.99,4,15.01.2022,16:59:26
Jorge Krein,64,Bar,37.99,4,15.01.2022,17:01:35
Ayten Heinz,53,Kreditkarte,34.99,6,15.01.2022,17:26:45
Vittorio Weinhold,53,EC-Karte,46.99,5,15.01.2022,17:48:13
Hildburg Binner,29,Bar,12.99,1,15.01.2022,17:59:29
Herr Maurice Klemt,30,EC-Karte,15.99,2,15.01.2022,18:10:36
Fredy Fröhlich,60,EC-Karte,36.99,5,15.01.2022,18:25:23
Dipl.-Ing. Ramon Hamann,56,EC-Karte,30.99,4,15.01.2022,19:04:07
Damian Christoph MBA.,63,Kreditkarte,39.99,4,15.01.2022,19:20:20
Prof. Adam Cichorius B.Sc.,59,Kreditkarte,46.99,5,15.01.2022,19:44:01
Sophia Lübs-Martin,53,Kreditkarte,51.99,5,15.01.2022,19:48:55
Cordula Salz,34,Bar,18.99,2,15.01.2022,19:59:26
Marc Eberth,69,EC-Karte,34.99,2,16.01.2022,10:00:23
Mina Liebelt-Schmidt,59,EC-Karte,45.99,4,16.01.2022,10:08:08
Guenther Fechner,58,EC-Karte,44.99,5,16.01.2022,10:12:20
Ing. Janett Zimmer B.Sc.,40,Kreditkarte,22.99,4,16.01.2022,10:25:52
German Bloch-Täsche,66,Bar,42.99,4,16.01.2022,10:29:14
Mariusz Schleich-Staude,57,EC-Karte,46.99,8,16.01.2022,10:45:42
Herr Kenan Wagner,43,Bar,44.99,4,16.01.2022,10:59:58
Milena Caspar,56,Bar,55.99,3,16.01.2022,11:40:04
Elfi Steinberg,67,Bar,42.99,6,16.01.2022,11:45:17
Franz-Josef Heuser-Drewes,55,EC-Karte,43.99,2,16.01.2022,12:10:23
Frau Tatiana Hellwig B.Eng.,50,Kreditkarte,44.99,5,16.01.2022,12:27:33
Wigbert Margraf,56,EC-Karte,31.99,7,16.01.2022,12:43:14
Kirstin Kranz B.Eng.,51,Kreditkarte,55.99,5,16.01.2022,12:45:30
Janin Gotthard,50,Bar,39.99,4,16.01.2022,12:47:04
Prof. Hermann Briemer,49,Kreditkarte,39.99,3,16.01.2022,13:09:45
Gerlinde Klingelhöfer B.Sc.,53,Kreditkarte,41.99,7,16.01.2022,13:45:01
Herr Thies Henschel,66,EC-Karte,36.99,4,16.01.2022,13:54:55
Nadia Eckbauer,23,Bar,18.99,2,16.01.2022,15:09:30
Roswita Mies-Meyer,49,Bar,43.99,4,16.01.2022,15:42:48
Gretel Atzler,68,Bar,37.99,4,16.01.2022,15:56:49
Univ.Prof. Hans-Günter Mohaupt B.Sc.,34,Bar,22.99,3,16.01.2022,16:15:55
Judith Heinrich-Sorgatz,23,Bar,20.99,3,16.01.2022,16:17:11
Bozena Biggen MBA.,24,EC-Karte,18.99,3,16.01.2022,16:23:39
Heide-Marie Killer-Schüler,44,Kreditkarte,40.99,6,16.01.2022,17:31:36
Tatjana Heidrich,66,Kreditkarte,35.99,6,16.01.2022,17:36:58
Sarah Bruder,37,Bar,18.99,2,16.01.2022,17:38:39
Luisa Dörschner,57,Bar,40.99,4,16.01.2022,18:32:26
Annette Matthäi,55,Kreditkarte,46.99,4,17.01.2022,10:01:14
Dipl.-Ing. Harriet Nohlmans,50,EC-Karte,58.99,4,17.01.2022,10:12:11
Univ.Prof. Hans-Peter Heidrich,64,Kreditkarte,45.99,5,17.01.2022,10:36:27
Lena Ortmann,49,Bar,44.99,6,17.01.2022,10:46:33
Miguel Hentschel,59,Bar,35.99,3,17.01.2022,11:08:49
Clara Gerlach,24,Bar,22.99,2,17.01.2022,11:09:30
Annemarie Dörschner B.Eng.,52,Kreditkarte,43.99,7,17.01.2022,11:21:27
Elvira Rörricht,78,Kreditkarte,44.99,8,17.01.2022,11:30:52
Ing. Brit Birnbaum,65,EC-Karte,43.99,7,17.01.2022,11:38:08
Gerdi Ullrich,59,EC-Karte,38.99,5,17.01.2022,12:33:17
Christiane Beer,64,EC-Karte,28.99,6,17.01.2022,12:39:42
Prof. Antonius Krause,31,Bar,21.99,1,17.01.2022,13:12:02
Dipl.-Ing. Dorit Linke B.A.,55,Kreditkarte,31.99,5,17.01.2022,13:27:21
Jane Tlustek,67,Bar,35.99,6,17.01.2022,13:27:58
Gerald Mühle,60,Kreditkarte,56.99,5,17.01.2022,13:50:36
Prof. Claudia Mude B.Sc.,59,Kreditkarte,37.99,4,17.01.2022,13:50:46
Jochen Gunpf,25,EC-Karte,12.99,1,17.01.2022,14:05:11
Univ.Prof. Holm Neuschäfer B.Eng.,23,EC-Karte,22.99,3,17.01.2022,14:06:46
Toralf Hövel-Flantz,54,Kreditkarte,47.99,6,17.01.2022,14:26:20
Marie-Louise Hethur B.Sc.,62,Bar,52.99,4,17.01.2022,15:17:17
Dr. Mohamed Wagenknecht MBA.,56,EC-Karte,41.99,2,17.01.2022,15:32:24
Adeline Pieper,53,Kreditkarte,34.99,3,17.01.2022,16:42:36
Maurice Freudenberger,63,EC-Karte,38.99,2,17.01.2022,17:04:55
Meta Hölzenbecher,56,Bar,38.99,8,17.01.2022,17:18:01
Ahmed Freudenberger,56,Kreditkarte,35.99,5,17.01.2022,18:12:39
Prof. Milan Hein MBA.,58,EC-Karte,40.99,7,17.01.2022,18:31:05
Bernhard Pölitz,54,Kreditkarte,40.99,3,17.01.2022,18:46:52
Prof. Margrit Dippel,30,EC-Karte,26.99,1,18.01.2022,10:04:46
Lidija Franke,67,EC-Karte,31.99,7,18.01.2022,10:11:49
Carmelo Kaul,24,Kreditkarte,20.99,3,18.01.2022,10:17:49
Dipl.-Ing. Klemens Thanel B.A.,61,Kreditkarte,37.99,4,18.01.2022,10:59:43
Dr. Hella Riehl MBA.,62,EC-Karte,37.99,7,18.01.2022,11:23:30
Eckehard Jacob B.A.,59,Bar,41.99,2,18.01.2022,11:24:59
Monique Ditschlerin,56,EC-Karte,34.99,6,18.01.2022,11:40:24
Maxim Mans B.A.,47,EC-Karte,42.99,7,18.01.2022,11:52:43
Karl-Dieter Rosemann,66,Kreditkarte,45.99,6,18.01.2022,11:53:21
Miriam Noack-Gierschner,61,Kreditkarte,35.99,5,18.01.2022,11:56:40
Ingbert Vollbrecht B.Eng.,58,Bar,40.99,2,18.01.2022,12:10:05
Jiri Wiek,62,Kreditkarte,28.99,2,18.01.2022,13:22:08
Dr. Marija Schottin MBA.,63,Bar,34.99,3,18.01.2022,13:23:52
Ingetraud Holt,57,EC-Karte,26.99,2,18.01.2022,14:01:37
Songül Kühnert,63,Kreditkarte,32.99,7,18.01.2022,14:59:18
Ing. Helen Kruschwitz,69,Kreditkarte,45.99,4,18.01.2022,15:03:11
Annelie Döring MBA.,69,EC-Karte,38.99,3,18.01.2022,15:30:02
Imke Wohlgemut-Fiebig,38,EC-Karte,36.99,7,18.01.2022,16:04:14
Sandor Stiffel,61,Bar,29.99,6,18.01.2022,16:30:55
Heidelinde Pölitz,42,EC-Karte,43.99,6,18.01.2022,16:39:33
Alena Schleich,50,EC-Karte,34.99,7,18.01.2022,17:07:40
Burghard Mielcarek B.A.,48,EC-Karte,33.99,4,18.01.2022,17:23:27
Ralf-Peter Geisler B.Eng.,62,EC-Karte,40.99,7,18.01.2022,18:09:33
Wera Kranz,61,EC-Karte,40.99,5,18.01.2022,18:14:15
Dipl.-Ing. Hugo Mentzel,35,Kreditkarte,21.99,6,18.01.2022,18:43:08
Ing. Thomas Fiebig,64,Kreditkarte,47.99,3,18.01.2022,19:02:59
Prof. Pavel Stoll,71,EC-Karte,58.99,4,18.01.2022,19:12:24
Dr. Friederike Kraushaar,24,EC-Karte,16.99,5,18.01.2022,19:52:05
Antonio Scholtz,45,Kreditkarte,44.99,4,19.01.2022,10:34:37
Hans-Georg Fischer B.Eng.,50,Bar,40.99,7,19.01.2022,11:23:46
Ludmila Margraf-Stumpf,56,Kreditkarte,55.99,6,19.01.2022,11:32:40
Alfons Pieper,56,Bar,47.99,6,19.01.2022,11:47:59
Dipl.-Ing. Albert Kuhl,60,Kreditkarte,52.99,6,19.01.2022,12:01:24
Ina Reising,65,Bar,42.99,6,19.01.2022,12:24:43
Karolin Stoll,27,Kreditkarte,21.99,2,19.01.2022,12:39:27
Auguste Fliegner,68,Kreditkarte,48.99,3,19.01.2022,12:42:56
Eckart Reising,24,EC-Karte,16.99,1,19.01.2022,15:05:28
Dipl.-Ing. Hilmar Jacobi Jäckel,28,Kreditkarte,19.99,2,19.01.2022,15:25:02
Sybille Stey,62,EC-Karte,38.99,7,19.01.2022,15:38:34
Joana Matthäi,62,EC-Karte,37.99,7,19.01.2022,15:47:11
Stephen Staude,25,EC-Karte,20.99,5,19.01.2022,15:48:18
Herr Erdal Gehringer,57,EC-Karte,47.99,9,19.01.2022,15:50:46
Heide-Marie Kaul,58,EC-Karte,44.99,7,19.01.2022,16:00:50
Hermine Striebitz B.A.,61,Bar,35.99,8,19.01.2022,16:11:12
Verena Käster-Kreusel,22,Kreditkarte,17.99,3,19.01.2022,16:21:08
Dipl.-Ing. Nicolas auch Schlauchin,44,Bar,40.99,4,19.01.2022,16:32:53
Theodor Kostolzin,51,Bar,41.99,4,19.01.2022,17:31:37
Brian Karge-Lübs,24,Kreditkarte,18.99,4,19.01.2022,17:40:02
Irma Stadelmann B.Sc.,58,Kreditkarte,43.99,3,19.01.2022,17:40:21
Rabea Hübel,35,Kreditkarte,23.99,5,19.01.2022,17:43:31
Ramazan Mosemann B.A.,56,EC-Karte,43.99,3,19.01.2022,18:39:05
Hiltraud Ortmann,52,Kreditkarte,53.99,7,19.01.2022,18:49:15
Cristina Hethur B.Sc.,69,Bar,43.99,4,19.01.2022,19:05:56
Ernst Meyer-Gorlitz,73,Bar,35.99,5,19.01.2022,19:13:21
Mohammed Matthäi MBA.,64,EC-Karte,36.99,5,19.01.2022,19:40:30
Kenan Ditschlerin,22,EC-Karte,23.99,3,20.01.2022,10:13:44
Claudio Stiffel,56,EC-Karte,44.99,3,20.01.2022,10:16:09
Lorenzo Vogt,55,Bar,44.99,4,20.01.2022,10:20:53
Maria-Luise Gude-Grein Groth,56,EC-Karte,35.99,5,20.01.2022,10:56:25
Dr. Piotr Drewes,59,Kreditkarte,36.99,5,20.01.2022,11:16:40
Giovanna Karge,64,EC-Karte,36.99,4,20.01.2022,11:23:06
Dietmar Renner,54,Kreditkarte,41.99,8,20.01.2022,11:32:24
Roderich Atzler,47,Bar,40.99,3,20.01.2022,11:34:37
Lore Birnbaum-Eberhardt,73,EC-Karte,40.99,6,20.01.2022,11:42:59
Elfriede Geißler MBA.,55,Kreditkarte,30.99,5,20.01.2022,12:02:43
Ron Paffrath,24,Bar,21.99,5,20.01.2022,12:17:50
Dr. Tatjana Seidel,63,Bar,36.99,5,20.01.2022,12:44:15
Dr. Adolfine Ruppersberger B.Eng.,59,EC-Karte,50.99,6,20.01.2022,13:14:02
Birgit Schinke,57,EC-Karte,40.99,4,20.01.2022,13:23:34
Luzie Vogt,27,EC-Karte,14.99,4,20.01.2022,13:39:18
Prof. Max Kitzmann,51,Kreditkarte,34.99,5,20.01.2022,14:41:12
Hülya Karge,63,Kreditkarte,38.99,3,20.01.2022,15:23:50
Valentin Loos,58,Bar,42.99,2,20.01.2022,15:26:28
Elli Ullrich B.Sc.,64,EC-Karte,38.99,5,20.01.2022,15:53:15
Ing. Reginald Bärer,58,Bar,39.99,5,20.01.2022,15:54:09
Kläre Nerger-Martin,29,Bar,14.99,2,20.01.2022,16:48:18
Dr. Berit Vollbrecht,54,Kreditkarte,43.99,5,20.01.2022,17:01:47
Karl-Georg Trubin,58,Bar,50.99,9,20.01.2022,17:16:56
Lilija Werner,36,Kreditkarte,15.99,2,20.01.2022,18:48:21
Ibrahim Ladeck,50,Kreditkarte,43.99,6,20.01.2022,19:10:34
Geraldine Schüler-Matthäi,56,Bar,39.99,5,20.01.2022,19:14:31
Wilma Köhler MBA.,59,Kreditkarte,43.99,1,20.01.2022,19:24:59
Jakob Niemeier,50,Kreditkarte,39.99,5,20.01.2022,19:27:53
Hans Häring,27,Kreditkarte,17.99,1,21.01.2022,10:40:19
Siegmar Mies B.Eng.,73,EC-Karte,29.99,6,21.01.2022,11:21:31
Dipl.-Ing. Steffi Bohlander,36,Bar,24.99,3,21.01.2022,11:50:41
Hiltraud Mitschke B.Sc.,56,EC-Karte,45.99,4,21.01.2022,13:17:50
Ewa Geisler,56,Kreditkarte,46.99,4,21.01.2022,13:54:28
Dipl.-Ing. Gitta Binner MBA.,65,Bar,37.99,7,21.01.2022,14:15:37
Grit Schuchhardt,45,EC-Karte,29.99,3,21.01.2022,14:18:47
Dr. Richard Trupp,54,EC-Karte,41.99,4,21.01.2022,14:29:38
Rabea Rosenow,29,Bar,17.99,2,21.01.2022,14:40:06
Victor Müller,67,EC-Karte,41.99,6,21.01.2022,14:40:44
Erik Preiß MBA.,54,Bar,32.99,4,21.01.2022,15:05:12
Hilma Seip MBA.,59,EC-Karte,40.99,5,21.01.2022,15:19:15
Centa Pärtzelt,52,Bar,37.99,5,21.01.2022,15:41:09
Heidelore Barth,58,Kreditkarte,35.99,4,21.01.2022,16:16:53
Mattias Kabus,52,Bar,47.99,5,21.01.2022,16:22:00
Prof. Nicolaus Pergande,63,Kreditkarte,37.99,3,21.01.2022,16:27:25
Slavica Herrmann B.Sc.,29,Bar,27.99,5,21.01.2022,16:53:47
Prof. Bianka Täsche,21,Bar,20.99,4,21.01.2022,17:11:22
Ing. Frederic Kroker,30,Kreditkarte,13.99,5,21.01.2022,17:14:57
Irmi Heser,57,Bar,31.99,5,21.01.2022,17:34:56
Gesa Lindau,30,Kreditkarte,24.99,3,21.01.2022,17:39:06
Ing. Frieder Tschentscher,50,Kreditkarte,40.99,5,21.01.2022,17:43:40
Nora Naser MBA.,66,EC-Karte,52.99,5,21.01.2022,18:08:22
Siegmar Stadelmann,31,Kreditkarte,31.99,5,21.01.2022,18:24:03
Sigismund Jacobi Jäckel MBA.,48,Bar,49.99,4,21.01.2022,18:29:31
Uli Gierschner,21,Bar,28.99,1,21.01.2022,18:50:12
Ing. Tania Rose,25,Bar,18.99,2,21.01.2022,18:53:34
Ottomar Gute,48,Bar,34.99,5,22.01.2022,10:21:28
Dipl.-Ing. Wieland Hahn,34,EC-Karte,25.99,2,22.01.2022,10:29:25
Hülya Hecker B.A.,26,Kreditkarte,21.99,2,22.01.2022,10:30:06
Kriemhild Pechel,72,Bar,39.99,5,22.01.2022,10:39:44
Betty Ruppert,29,EC-Karte,19.99,5,22.01.2022,10:54:41
Uwe Segebahn,72,EC-Karte,47.99,6,22.01.2022,11:37:25
Niko Jacob,48,EC-Karte,34.99,6,22.01.2022,11:40:09
Jacqueline Otto-Hendriks,28,Kreditkarte,25.99,3,22.01.2022,11:47:19
Ryszard Drub,37,EC-Karte,19.99,3,22.01.2022,12:26:00
Arif Dowerg,63,Bar,58.99,3,22.01.2022,12:30:28
Juan Loos,60,Bar,51.99,4,22.01.2022,13:37:44
Hedda Kensy-Scheuermann,30,EC-Karte,19.99,3,22.01.2022,13:52:13
Anna-Luise Vollbrecht B.Eng.,60,Kreditkarte,37.99,5,22.01.2022,14:00:19
Siegried Kohl-Schinke,66,EC-Karte,40.99,7,22.01.2022,15:11:09
Univ.Prof. Jessica Bachmann B.Sc.,50,EC-Karte,40.99,4,22.01.2022,15:21:47
Univ.Prof. Henning Pruschke B.A.,58,EC-Karte,36.99,14,22.01.2022,15:32:22
Anette Dippel,61,Kreditkarte,31.99,4,22.01.2022,16:42:00
Univ.Prof. Gregor Gerlach MBA.,61,Kreditkarte,39.99,3,22.01.2022,16:42:57
Dr. Burkard Herrmann MBA.,62,EC-Karte,32.99,7,22.01.2022,17:35:54
Klaas Schüler-Schaaf,47,Bar,29.99,4,22.01.2022,18:18:35
Janusz Gröttner,63,Kreditkarte,38.99,3,22.01.2022,18:23:38
Prof. Gönül Wähner B.Eng.,51,EC-Karte,42.99,3,22.01.2022,18:45:53
Dipl.-Ing. Piotr Sager,48,Kreditkarte,42.99,5,22.01.2022,18:51:31
Stefan Lange-Bolander,31,EC-Karte,16.99,1,22.01.2022,18:57:35
Dr. Robin Pergande,74,Bar,31.99,5,22.01.2022,19:05:16
Ivanka Austermühle-Schweitzer,52,Kreditkarte,38.99,4,22.01.2022,19:13:03
Ing. Mirco Trupp B.Sc.,62,Bar,29.99,3,22.01.2022,19:27:50
Hans-Adolf Dörr,27,Kreditkarte,20.99,5,22.01.2022,19:59:03
Jürgen Benthin,28,EC-Karte,15.99,1,23.01.2022,10:06:41
Prof. Hans-Josef Sager,55,EC-Karte,37.99,6,23.01.2022,10:15:29
Katarina Heydrich,46,EC-Karte,32.99,5,23.01.2022,10:29:16
Univ.Prof. Angelo Kruschwitz,48,Bar,45.99,6,23.01.2022,10:42:22
Muzaffer Schlosser B.Sc.,25,EC-Karte,29.99,1,23.01.2022,11:08:32
Dr. Cengiz Ruppert,29,EC-Karte,25.99,2,23.01.2022,12:21:35
Dipl.-Ing. Trude Klapp MBA.,72,Kreditkarte,40.99,2,23.01.2022,12:35:54
Vesna Caspar,43,EC-Karte,31.99,4,23.01.2022,13:39:38
Frau Lucie Harloff,59,Bar,38.99,7,23.01.2022,13:55:03
Filippo Geißler,60,EC-Karte,40.99,8,23.01.2022,14:00:32
Heinz-Werner Reichmann-Misicher,49,Kreditkarte,39.99,4,23.01.2022,14:07:13
Milica Werner,50,Bar,37.99,2,23.01.2022,14:09:48
Janusz Jacob,31,Bar,22.99,5,23.01.2022,14:12:00
Ing. Annita Wende,54,Kreditkarte,43.99,3,23.01.2022,14:21:44
Ing. Anica Striebitz,65,Kreditkarte,38.99,4,23.01.2022,14:31:16
Semra Speer-Conradi,29,EC-Karte,15.99,4,23.01.2022,14:53:22
Francesca Scheibe,64,Kreditkarte,34.99,4,23.01.2022,15:09:51
Kemal Vollbrecht,68,Kreditkarte,48.99,5,23.01.2022,16:06:10
Helfried Textor MBA.,71,Kreditkarte,39.99,4,23.01.2022,16:19:19
Dr. Hans-Karl Baum,56,EC-Karte,35.99,8,23.01.2022,16:33:07
Ing. Milan Gotthard B.Eng.,62,Bar,49.99,7,23.01.2022,16:52:41
Ronald Krause,60,EC-Karte,31.99,8,23.01.2022,17:42:57
Peggy Förster-Seidel,54,Bar,46.99,5,23.01.2022,18:07:51
Reimer Meister,28,Kreditkarte,22.99,4,23.01.2022,18:20:06
Leni Metz,23,Bar,18.99,2,23.01.2022,18:23:57
Rebecca Walter MBA.,49,Bar,37.99,7,23.01.2022,18:53:26
Ellinor Scheel,47,EC-Karte,44.99,7,23.01.2022,19:19:48
Adam Hörle-Bauer,52,EC-Karte,43.99,6,24.01.2022,10:20:29
Evelyn Tintzmann,60,EC-Karte,29.99,4,24.01.2022,10:41:04
Jonas Döhn,68,Bar,43.99,8,24.01.2022,10:46:04
Dr. Ehrentraud Warmer B.A.,66,EC-Karte,34.99,4,24.01.2022,11:10:35
Ronny Girschner,25,EC-Karte,14.99,2,24.01.2022,11:34:35
Dr. Jacqueline Ziegert,64,Kreditkarte,34.99,7,24.01.2022,11:44:23
Janina Stahr,27,Bar,21.99,5,24.01.2022,12:01:16
Dr. Reingard Martin B.Eng.,26,EC-Karte,23.99,5,24.01.2022,12:16:29
Dariusz Pechel,61,EC-Karte,52.99,4,24.01.2022,13:01:13
Hanne Nette,54,EC-Karte,37.99,5,24.01.2022,13:46:26
Herr Hajo Wesack B.Eng.,27,Bar,19.99,6,24.01.2022,14:03:10
Alex Spieß,63,Bar,52.99,6,24.01.2022,14:26:19
Prof. Wolfram Röhrdanz B.Eng.,52,EC-Karte,40.99,3,24.01.2022,14:36:10
Inka Stroh,65,Kreditkarte,26.99,7,24.01.2022,14:36:42
Eberhard Hamann,64,EC-Karte,32.99,4,24.01.2022,15:18:45
Bela Dehmel,53,EC-Karte,52.99,5,24.01.2022,15:47:32
Manuela Juncken,49,Bar,32.99,2,24.01.2022,16:18:57
Amir Fritsch,50,EC-Karte,35.99,7,24.01.2022,16:36:20
Alma Meyer,66,EC-Karte,38.99,4,24.01.2022,16:53:00
Svea Hande,55,Bar,38.99,8,24.01.2022,17:05:13
Ehrhard Ritter,52,Bar,28.99,4,24.01.2022,17:48:38
Karlheinz Häring MBA.,61,Bar,43.99,6,24.01.2022,18:02:38
Dipl.-Ing. Klaus-Werner Benthin B.Eng.,56,EC-Karte,53.99,7,24.01.2022,18:26:54
Walli Mülichen,61,Kreditkarte,38.99,1,24.01.2022,18:36:45
Chantal Kühnert,53,Bar,41.99,6,24.01.2022,18:49:51
Dipl.-Ing. Marieluise Stahr,34,EC-Karte,23.99,2,24.01.2022,19:23:07
Univ.Prof. Tilmann Trapp MBA.,48,Kreditkarte,40.99,7,24.01.2022,19:36:54
Dr. Klaus-Günter Gierschner,59,Bar,47.99,1,24.01.2022,19:55:48
Inga Dowerg-Jungfer,54,Bar,51.99,5,25.01.2022,10:15:13
Friedemann Jäkel,59,EC-Karte,45.99,5,25.01.2022,10:20:51
Prof. Anneke Dippel B.A.,53,EC-Karte,47.99,4,25.01.2022,12:16:32
Jakob Gorlitz,59,EC-Karte,35.99,2,25.01.2022,12:41:07
Leonore Köster,31,Kreditkarte,18.99,6,25.01.2022,12:56:01
Tassilo Rosenow,50,Kreditkarte,41.99,4,25.01.2022,13:19:20
Carsten Juncken,28,EC-Karte,14.99,2,25.01.2022,13:20:42
Frau Silke Budig,29,EC-Karte,23.99,1,25.01.2022,13:41:45
Dipl.-Ing. Hubertus Holzapfel,51,Bar,47.99,4,25.01.2022,13:45:04
Dipl.-Ing. Ernst-Otto Klingelhöfer MBA.,66,Bar,36.99,2,25.01.2022,13:56:51
Solveig Döhn,53,Bar,37.99,2,25.01.2022,14:03:55
Prof. Imke Schaaf,49,Kreditkarte,46.99,4,25.01.2022,14:11:17
Dipl.-Ing. Inna Schlosser B.A.,75,EC-Karte,43.99,5,25.01.2022,14:11:26
Georg Rädel,30,Kreditkarte,15.99,3,25.01.2022,14:22:36
Edelbert Hande,63,Bar,51.99,4,25.01.2022,14:23:48
Jens-Uwe Tröst,53,Kreditkarte,46.99,2,25.01.2022,14:58:58
Prof. Dieter Binner,63,Bar,43.99,3,25.01.2022,15:00:29
Asta Misicher,45,Bar,33.99,5,25.01.2022,15:03:39
Ing. Uschi Dörschner,61,Kreditkarte,36.99,9,25.01.2022,16:15:07
Gilda Salz,30,Kreditkarte,11.99,3,25.01.2022,17:45:01
Prof. Sevim Klapp,29,Bar,13.99,2,25.01.2022,18:07:42
Herr Reinald Jacob B.Eng.,62,EC-Karte,31.99,5,25.01.2022,18:23:10
Evelin Gerlach B.Eng.,63,Kreditkarte,36.99,4,25.01.2022,18:28:58
Dr. Ann Stahr B.A.,71,Bar,35.99,3,25.01.2022,18:29:33
Anatol Henschel B.A.,54,Kreditkarte,36.99,5,25.01.2022,18:34:26
Jacek Nette,62,EC-Karte,36.99,4,25.01.2022,18:38:23
Suzanne Jäkel,62,Bar,43.99,7,25.01.2022,19:40:17
Carl Trüb,73,EC-Karte,46.99,4,26.01.2022,10:18:17
Dipl.-Ing. Viktoria Junitz B.A.,63,Bar,47.99,3,26.01.2022,10:20:01
Univ.Prof. Hülya Werner,64,EC-Karte,51.99,8,26.01.2022,10:28:33
Günther Vogt-Tröst,52,Bar,45.99,6,26.01.2022,11:03:26
Mareile Zobel,70,EC-Karte,37.99,7,26.01.2022,12:32:14
Dr. Nuri Schottin B.Sc.,25,Bar,26.99,3,26.01.2022,12:48:48
